Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU32,79.20993602,43,781,9571.550487,Unknown,89,13,64,4,Carrier C,6.599104901,Supplier 3,Kolkata,737,7,29.69246715,Pass,1.946036119,Road,Route A,761.1739095
cosmetics,SKU33,64.795435,63,616,5149.99835,Non-binary,4,17,95,9,Carrier C,4.858270503,Supplier 5,Chennai,251,23,23.85342751,Fail,3.541046012,Sea,Route A,371.2552955
skincare,SKU34,37.46759233,96,602,9061.710896,Unknown,1,26,21,7,Carrier A,1.019487571,Supplier 1,Chennai,452,10,10.75427282,Pass,0.646604559,Road,Route B,510.3580004
cosmetics,SKU35,84.95778682,11,449,6541.329345,Female,42,27,85,8,Carrier C,5.28818999,Supplier 1,Delhi,367,2,58.00478704,Pass,0.541154098,Sea,Route C,553.4204712
skincare,SKU36,9.813002579,34,963,7573.402458,Female,18,23,28,3,Carrier B,2.107951267,Supplier 2,Delhi,671,19,45.53136424,Fail,3.805533379,Air,Route C,403.8089742
skincare,SKU37,23.39984475,5,963,2438.33993,Female,25,8,21,9,Carrier A,1.532655274,Supplier 3,Kolkata,867,15,34.34327747,Pending,2.610288085,Sea,Route A,183.932968
cosmetics,SKU38,52.07593068,75,705,9692.31804,Non-binary,69,1,88,5,Carrier B,9.235931437,Supplier 5,Mumbai,841,12,5.930693646,Pending,0.613326899,Air,Route B,339.6728699
skincare,SKU39,19.12747727,26,176,1912.465663,Female,78,29,34,3,Carrier A,5.562503779,Supplier 2,Kolkata,791,6,9.005807429,Fail,1.451972204,Air,Route B,653.6729946
skincare,SKU40,80.54142417,97,933,5724.95935,Female,90,20,39,8,Carrier C,7.22959514,Supplier 1,Kolkata,793,1,88.1794071,Pending,4.213269431,Road,Route A,529.808724
skincare,SKU41,99.11329162,35,556,5521.205259,Female,64,19,38,8,Carrier B,5.773263744,Supplier 4,Chennai,892,7,95.33206455,Fail,0.045302262,Sea,Route A,275.5243711
skincare,SKU42,46.52916761,98,155,1839.609426,Female,22,27,57,4,Carrier C,7.526248327,Supplier 5,Bangalore,179,7,96.42282064,Fail,4.939255289,Road,Route A,635.6571205
haircare,SKU43,11.74327178,6,598,5737.425599,Unknown,36,29,85,9,Carrier B,3.694021268,Supplier 5,Mumbai,206,23,26.27736596,Pending,0.372304768,Air,Route A,716.0441198
cosmetics,SKU44,51.35579091,34,919,7152.286049,Female,13,19,72,6,Carrier C,7.577449657,Supplier 2,Delhi,834,18,22.55410662,Fail,2.96262632,Rail,Route A,610.4532696
haircare,SKU45,33.78413803,1,24,5267.956808,Male,93,7,52,6,Carrier B,5.215155009,Supplier 2,Chennai,794,25,66.31254444,Pass,3.219604612,Rail,Route A,495.305697
haircare,SKU46,27.0822072,75,859,2556.767361,Non-binary,92,29,6,8,Carrier B,4.070955837,Supplier 3,Chennai,870,23,77.32235321,Pending,3.648610593,Road,Route B,380.4359371
skincare,SKU47,95.71213588,93,910,7089.47425,Male,4,15,51,9,Carrier B,8.978750756,Supplier 1,Kolkata,964,20,19.71299291,Pending,0.380573587,Rail,Route A,581.6023551
haircare,SKU48,76.03554443,28,29,7397.071005,Non-binary,30,16,9,3,Carrier C,7.095833157,Supplier 2,Mumbai,109,18,23.12636358,Fail,1.698112541,Rail,Route B,768.651914
cosmetics,SKU49,78.89791321,19,99,8001.613207,Unknown,97,24,9,6,Carrier C,2.505621033,Supplier 5,Delhi,177,28,14.14781544,Pass,2.825813985,Rail,Route A,336.8901685
cosmetics,SKU50,14.20348426,91,633,5910.88539,Female,31,23,82,10,Carrier A,6.247860915,Supplier 2,Delhi,306,21,45.17875792,Fail,4.754800805,Rail,Route B,496.2486503
haircare,SKU51,26.70076097,61,154,9866.465458,Male,100,4,52,1,Carrier A,4.783000558,Supplier 5,Bangalore,673,28,14.19032834,Pending,1.772951172,Road,Route A,694.9823176
skincare,SKU52,98.03182966,1,820,9435.762609,Male,64,11,11,1,Carrier B,8.63105218,Supplier 1,Mumbai,727,27,9.166849149,Pending,2.122471619,Air,Route C,602.8984988
skincare,SKU53,30.34147071,93,242,8232.334829,Male,96,25,54,3,Carrier B,1.013486566,Supplier 1,Delhi,631,17,83.34405899,Pending,1.410347576,Air,Route B,750.7378407
haircare,SKU54,31.14624316,11,622,6088.02148,Non-binary,33,22,61,3,Carrier B,4.305103471,Supplier 1,Kolkata,497,29,30.18602338,Pass,2.478771976,Road,Route B,814.0699966
haircare,SKU55,79.85505834,16,701,2925.67517,Male,97,11,11,5,Carrier A,5.014364955,Supplier 2,Delhi,918,5,30.32354526,Fail,4.548919659,Sea,Route B,323.012928
skincare,SKU56,20.98638604,90,93,4767.020484,Non-binary,25,23,83,5,Carrier C,1.774429714,Supplier 1,Mumbai,826,28,12.83628457,Pass,1.173755495,Air,Route B,832.2108087
haircare,SKU57,49.26320535,65,227,1605.8669,Unknown,5,18,51,1,Carrier B,9.160558535,Supplier 2,Delhi,588,25,67.77962299,Pending,2.51117483,Rail,Route A,482.1912386
skincare,SKU58,59.84156138,81,896,2021.14981,Non-binary,10,5,44,7,Carrier A,4.938438565,Supplier 3,Delhi,396,7,65.04741509,Fail,1.73037472,Road,Route B,110.3643352
cosmetics,SKU59,63.82839835,30,484,1061.618523,Non-binary,100,16,26,7,Carrier B,7.293722597,Supplier 1,Kolkata,176,4,1.900762244,Fail,0.447194015,Air,Route A,312.5742736
skincare,SKU60,17.02802792,16,380,8864.08435,Female,41,27,72,8,Carrier C,4.381368158,Supplier 4,Mumbai,929,24,87.21305782,Fail,2.853090617,Rail,Route A,430.169097
haircare,SKU61,52.0287499,23,117,6885.589351,Unknown,32,23,36,7,Carrier C,9.030340423,Supplier 4,Kolkata,480,12,78.70239397,Fail,4.367470538,Air,Route A,164.3665282
cosmetics,SKU62,72.79635396,89,270,3899.746834,Unknown,86,2,40,7,Carrier C,7.291701389,Supplier 2,Mumbai,751,14,21.04864273,Pass,1.874001404,Sea,Route C,320.8465158
skincare,SKU63,13.01737679,55,246,4256.949141,Non-binary,54,19,10,4,Carrier A,2.457933528,Supplier 3,Bangalore,736,10,20.07500398,Pending,3.63284329,Sea,Route A,687.2861779
skincare,SKU64,89.63409561,11,134,8458.730878,Female,73,27,75,6,Carrier C,4.585353468,Supplier 1,Delhi,328,6,8.693042426,Fail,0.159486315,Air,Route C,771.2250847
skincare,SKU65,33.69771721,72,457,8354.579686,Male,57,24,54,8,Carrier C,6.580541348,Supplier 5,Kolkata,358,21,1.597222743,Fail,4.911095955,Rail,Route C,555.8591037
skincare,SKU66,26.03486977,52,704,8367.721618,Female,13,17,19,8,Carrier A,2.216142729,Supplier 5,Kolkata,867,28,42.08443674,Fail,3.448063288,Road,Route A,393.8433486
skincare,SKU67,87.75543235,16,513,9473.798033,Unknown,12,9,71,9,Carrier C,9.147811545,Supplier 1,Mumbai,198,11,7.057876147,Pass,0.131955444,Sea,Route C,169.2718014
haircare,SKU68,37.93181238,29,163,3550.218433,Non-binary,0,8,58,8,Carrier B,1.194251865,Supplier 2,Bangalore,375,18,97.11358156,Fail,1.983467872,Rail,Route A,299.7063031
skincare,SKU69,54.86552852,62,511,1752.381087,Non-binary,95,1,27,3,Carrier B,9.70528679,Supplier 4,Kolkata,862,7,77.62776581,Pending,1.362387989,Air,Route A,207.6632062
haircare,SKU70,47.91454182,90,32,7014.887987,Female,10,12,22,4,Carrier B,6.315717755,Supplier 1,Bangalore,775,16,11.44078182,Pass,1.830575599,Road,Route C,183.2728987
cosmetics,SKU71,6.381533163,14,637,8180.337085,Female,76,2,26,6,Carrier A,9.228190317,Supplier 2,Bangalore,258,10,30.66167748,Pending,2.078750608,Road,Route A,405.1670679
cosmetics,SKU72,90.20442752,88,478,2633.121981,Non-binary,57,29,77,9,Carrier A,6.59961416,Supplier 1,Bangalore,152,11,55.7604929,Pending,3.213329607,Rail,Route B,677.9445698
cosmetics,SKU73,83.85101768,41,375,7910.886916,Male,17,25,66,5,Carrier B,1.512936837,Supplier 4,Chennai,444,4,46.8702388,Fail,4.620546065,Road,Route A,866.4728001
haircare,SKU74,3.170011414,64,904,5709.945296,Female,41,6,1,5,Carrier A,5.23765465,Supplier 4,Delhi,919,9,80.58085216,Fail,0.396612724,Rail,Route A,341.5526568
skincare,SKU75,92.99688423,29,106,1889.07359,Non-binary,16,20,56,10,Carrier C,2.473897761,Supplier 1,Chennai,759,11,48.06478264,Pass,2.030069089,Air,Route C,873.129648
haircare,SKU76,69.10879955,23,241,5328.375984,Male,38,1,22,10,Carrier A,7.054538337,Supplier 2,Bangalore,985,24,64.3235978,Pending,2.180037452,Rail,Route A,997.4134501
haircare,SKU77,57.44974296,14,359,2483.760178,Unknown,96,28,57,4,Carrier B,6.780946626,Supplier 1,Kolkata,334,5,42.95244475,Pass,3.055141818,Road,Route B,852.5680989
haircare,SKU78,6.306883176,50,946,1292.458418,Unknown,5,4,51,5,Carrier B,8.467049771,Supplier 5,Mumbai,858,21,71.12651472,Pending,4.096881332,Sea,Route C,323.5922034
haircare,SKU79,57.05703122,56,198,7888.723268,Non-binary,31,25,20,1,Carrier B,6.496325364,Supplier 3,Bangalore,228,12,57.87090292,Pending,0.165871627,Air,Route C,351.5042193
skincare,SKU80,91.12831835,75,872,8651.672683,Unknown,39,14,41,2,Carrier C,2.833184679,Supplier 3,Chennai,202,5,76.96122802,Fail,2.849662199,Sea,Route B,787.7798505
haircare,SKU81,72.81920693,9,774,4384.4134,Unknown,48,6,8,5,Carrier B,4.066277502,Supplier 3,Delhi,698,1,19.78959294,Pending,2.547547122,Rail,Route B,276.7783359
skincare,SKU82,17.03493074,13,336,2943.381868,Unknown,42,19,72,1,Carrier A,4.708181874,Supplier 2,Mumbai,955,26,4.465278435,Pending,4.137877049,Road,Route C,589.9785556
haircare,SKU83,68.91124621,82,663,2411.754632,Unknown,65,24,7,8,Carrier B,4.949839578,Supplier 1,Bangalore,443,5,97.7305938,Fail,0.773006134,Road,Route A,682.9710182
haircare,SKU84,89.10436729,99,618,2048.2901,Unknown,73,26,80,10,Carrier A,8.381615625,Supplier 5,Chennai,589,22,33.80863651,Pass,4.843456577,Air,Route B,465.457006
cosmetics,SKU85,76.96299442,83,25,8684.613059,Female,15,18,66,2,Carrier C,8.249168705,Supplier 5,Chennai,211,2,69.92934552,Fail,1.374429,Road,Route B,842.68683
skincare,SKU86,19.99817694,18,223,1229.591029,Unknown,32,14,22,6,Carrier B,1.45430531,Supplier 1,Mumbai,569,18,74.60897,Pass,2.051512931,Rail,Route A,264.2548898
haircare,SKU87,80.41403665,24,79,5133.846701,Male,5,7,55,10,Carrier A,6.575803798,Supplier 3,Chennai,523,17,28.69699682,Fail,3.693737788,Sea,Route B,879.3592177
cosmetics,SKU88,75.27040698,58,737,9444.742033,Male,60,18,85,7,Carrier A,3.801253133,Supplier 2,Mumbai,953,11,68.18491906,Pending,0.722204402,Sea,Route A,103.916248
cosmetics,SKU89,97.76008558,10,134,5924.682567,Unknown,90,1,27,8,Carrier B,9.929816245,Supplier 1,Kolkata,370,11,46.60387338,Pending,1.907665734,Rail,Route B,517.4999739
skincare,SKU90,13.8819135,56,320,9592.63357,Non-binary,66,18,96,7,Carrier B,7.674430708,Supplier 3,Bangalore,585,8,85.67596334,Pass,1.219382224,Rail,Route B,990.0784725
cosmetics,SKU91,62.11196546,90,916,1935.206794,Male,98,22,85,7,Carrier B,7.471514084,Supplier 4,Delhi,207,28,39.7728825,Pending,0.626001858,Rail,Route B,996.778315
cosmetics,SKU92,47.71423308,44,276,2100.129755,Male,90,25,10,8,Carrier B,4.469500026,Supplier 2,Mumbai,671,29,62.6126904,Pass,0.333431825,Rail,Route B,230.0927825
haircare,SKU93,69.290831,88,114,4531.402134,Unknown,63,17,66,1,Carrier C,7.006432059,Supplier 4,Chennai,824,20,35.63365234,Fail,4.165781795,Air,Route A,823.5238459
cosmetics,SKU94,3.037688725,97,987,7888.356547,Unknown,77,26,72,9,Carrier B,6.942945942,Supplier 2,Delhi,908,14,60.38737861,Pass,1.463607498,Rail,Route B,846.665257
haircare,SKU95,77.90392722,65,672,7386.363944,Unknown,15,14,26,9,Carrier B,8.63033887,Supplier 4,Mumbai,450,26,58.89068577,Pending,1.21088213,Air,Route A,778.8642414
cosmetics,SKU96,24.42313142,29,324,7698.424766,Non-binary,67,2,32,3,Carrier C,5.352878044,Supplier 3,Mumbai,648,28,17.80375633,Pending,3.872047681,Road,Route A,188.7421411
haircare,SKU97,3.526111259,56,62,4370.91658,Male,46,19,4,9,Carrier A,7.904845611,Supplier 4,Mumbai,535,13,65.76515593,Fail,3.376237835,Road,Route A,540.1324229
skincare,SKU98,19.75460487,43,913,8525.95256,Female,53,1,27,7,Carrier B,1.409801095,Supplier 5,Chennai,581,9,5.604690864,Pending,2.908122169,Rail,Route A,882.1988635
haircare,SKU99,68.5178327,17,627,9185.185829,Unknown,55,8,59,6,Carrier B,1.311023756,Supplier 2,Chennai,921,2,38.07289852,Fail,0.346027291,Rail,Route B,210.743009
